#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Občina Velenje je za pomoč delavcem Preventa in Vegrada , ki so izgubili delo , namenila 40 tisoč evrov . Delavci lahko dobijo tudi brezplačno hrano in zaprosijo za izredno finančno pomoč . Župan Srečko Meh poudarja , da bi tudi država morala v sedanjih razmerah bolj pomagati . Na Mestni občini Velenje so se aktivno vključili v pomoč svojim občanom , ki so zaradi težav v Preventu in Vegradu že nekaj mesecev brez svojih dohodkov . Občina je za najnujnejše ukrepe že namenila 40.000 evrov , aktivno se je v pomoč vključil lani ustanovljeni odbor za pomoč občanom Velenja . Kot ocenjujejo , bo pomoč potrebovalo okoli 600 delavcev . Velenjski župan Srečko Meh je danes med drugim povedal , da so že pred časom omogočili brezplačne obroke v mestni javni kuhinji , takšno možnost pa trenutno koristi 180 Vegradovih delavcev . Odbor za pomoč , ki je sestavljen iz različnih humanitarnih , socialnih , zdravstvenih in drugih ustanov , je poskrbel za različne humanitarne akcije , med slednjimi bo tudi prireditev z dražbo likovnih del 10 . septembra . Humanitarna prireditev se bo imenovala Dobro delo . Nastopilo bo več glasbenih skupin , Društvo šaleških likovnikov pa bo prispevalo likovna dela za dražbo . Izkupiček prireditve in dražbe bo namenjen socialno ogroženim posameznikom in družinam . Prispevke zanje je moč nakazati tudi na podračun Mestne občine Velenje za dobrodelne namene , in sicer na 01333 - 6000000925 . Župan Velenja Meh meni , da je za delavce najboljša rešitev v Vegradu takojšen stečaj . Stečaj zato , da bodo delavci lahko zaščiteni in bodo dobili tisto , kar jim pripada , še dodaja . Kot je še poudaril Meh , lahko delavci na mestno občino naslovijo tudi vlogo za enkratno izredno denarno pomoč , ki jo bodo dodeljevali v skladu s pravilnikom . Ob tem je posebej poudaril , naj se delavci brez dohodkov najprej javijo na Centru za socialno delo Velenje , kjer v tem trenutku že rešujejo okoli 300 vlog za izredno pomoč . Šele ko bodo izkoristili to možnost , pa se lahko obrnejo tudi na njih , je še dodal velenjski župan . Z leve predsednik Rdečega križa Velenje Jože Kožar , podžupan MO Velenje Bojan Kontič , župan MO Velenje Srečko Meh in sodelavka Urada za negospodarske javne službe MO Velenje Nevenka Lempl . Meh Kje je tu menedžment ? Ob tem pa se je Meh vprašal , kje je tu menedžment in kje je morala tistih , ki so vodili podjetja in jih pripeljali v sedanji položaj . Prav tako se je vprašal , ali svojo vlogo dovolj dobro opravljajo sindikati . Ta ni odigral svoje vloge . Če se bori zgolj za plače in dolžino delovne dobe , ne pa tudi v kakšnem položaju so dejansko delavci , potem to zagotovo ni pravilno ravnanje , je dejal Meh . Foto POP TV Delavcem obeh podjetij so takoj ponudili tudi brezplačno pravno pomoč , hkrati pa se z direktorji nekaterih večjih podjetij v regiji dogovarjajo , da bi finančno pomagali prebroditi najhujše težave . Župan Meh še opozarja , da stečaj Vegrada posebej velikega vpliva na socialne razmere v Šaleški dolini ne bo imel , če bodo vsi skupaj pravočasno ukrepali . Poslanec SD Bojan Kontič je ob tem opomnil , da se je znova v praksi pokazalo , kako nekdo v času uspehov ne potrebuje države in lokalne skupnosti , ko pa pride do težav , kakršnim smo danes priča v Vegradu , potem je klic na pomoč hitro tu . Država mora zagotoviti predvsem sprejem zakonodaje , ki bi preprečila posamezne nepravilne odklone , ki se zdaj dogajajo v naši družbi . A z zakoni se vsega ne da preprečiti , če ni posluha za pravno državo , socialo in solidarnost , je dejal Kontič . Predsednik Rdečega križa Velenje Jože Kožar je izrazil veselje zaradi lanske ustanovitve že omenjenega odbora za pomoč , saj so na ta način tisti , ki želijo in lahko pomagajo , postali bolj močni . Kot je dejal , so sami sicer že pred tremi tedni po seznamu , ki so ga prejeli od Vegradovega sindikata , 230 delavcem razdelili prehranske pakete in pralni prašek . Paketov imajo še dovolj in jih delijo vsako sredo , skupaj z občino pa so poskrbeli tudi za šolske potrebščine 118 otrok
1-1	0-6	Občina	ORG[1]	_	*->7-1	*[7]	
1-392	2242-2245	Meh	PER	_	*->11-10	*[11]	
1-393	2246-2249	Kje	_	_	_	_	
1-394	2250-2252	je	_	_	_	_	
1-395	2253-2255	tu	_	_	_	_	
1-396	2256-2266	menedžment	_	_	_	_	
1-397	2267-2268	?	_	_	_	_	
1-398	2269-2271	Ob	_	_	_	_	
1-399	2272-2275	tem	_	_	_	_	
1-400	2276-2278	pa	_	_	_	_	
1-401	2279-2281	se	_	_	_	_	
1-402	2282-2284	je	_	_	_	_	
1-403	2285-2288	Meh	PER	_	*->11-11	*[11]	
1-404	2289-2296	vprašal	_	_	_	_	
1-405	2297-2298	,	_	_	_	_	
1-406	2299-2302	kje	_	_	_	_	
1-407	2303-2305	je	_	_	_	_	
1-408	2306-2308	tu	_	_	_	_	
1-409	2309-2319	menedžment	_	_	_	_	
1-410	2320-2322	in	_	_	_	_	
1-411	2323-2326	kje	_	_	_	_	
1-412	2327-2329	je	_	_	_	_	
1-413	2330-2336	morala	_	_	_	_	
1-414	2337-2343	tistih	_	_	_	_	
1-415	2344-2345	,	_	_	_	_	
1-416	2346-2348	ki	_	_	_	_	
1-417	2349-2351	so	_	_	_	_	
1-418	2352-2358	vodili	_	_	_	_	
1-419	2359-2367	podjetja	_	_	_	_	
1-420	2368-2370	in	_	_	_	_	
1-421	2371-2374	jih	_	_	_	_	
1-422	2375-2385	pripeljali	_	_	_	_	
1-423	2386-2387	v	_	_	_	_	
1-424	2388-2395	sedanji	_	_	_	_	
1-425	2396-2403	položaj	_	_	_	_	
1-426	2404-2405	.	_	_	_	_	
1-427	2406-2410	Prav	_	_	_	_	
1-428	2411-2415	tako	_	_	_	_	
1-429	2416-2418	se	_	_	_	_	
1-430	2419-2421	je	_	_	_	_	
1-431	2422-2429	vprašal	_	_	*->11-12	*[11]	
1-432	2430-2431	,	_	_	_	_	
1-433	2432-2435	ali	_	_	_	_	
1-434	2436-2441	svojo	_	_	_	_	
1-435	2442-2447	vlogo	_	_	_	_	
1-436	2448-2454	dovolj	_	_	_	_	
1-437	2455-2460	dobro	_	_	_	_	
1-438	2461-2471	opravljajo	_	_	_	_	
1-439	2472-2481	sindikati	_	_	_	_	
1-440	2482-2483	.	_	_	_	_	
1-441	2484-2486	Ta	_	_	_	_	
1-442	2487-2489	ni	_	_	_	_	
1-443	2490-2497	odigral	_	_	_	_	
1-444	2498-2503	svoje	_	_	_	_	
1-445	2504-2509	vloge	_	_	_	_	
1-446	2510-2511	.	_	_	_	_	
1-447	2512-2514	Če	_	_	_	_	
1-448	2515-2517	se	_	_	_	_	
1-449	2518-2522	bori	_	_	_	_	
1-450	2523-2528	zgolj	_	_	_	_	
1-451	2529-2531	za	_	_	_	_	
1-452	2532-2537	plače	_	_	_	_	
1-453	2538-2540	in	_	_	_	_	
1-454	2541-2548	dolžino	_	_	_	_	
1-455	2549-2556	delovne	_	_	_	_	
1-456	2557-2561	dobe	_	_	_	_	
1-457	2562-2563	,	_	_	_	_	
1-458	2564-2566	ne	_	_	_	_	
1-459	2567-2569	pa	_	_	_	_	
1-460	2570-2574	tudi	_	_	_	_	
1-461	2575-2576	v	_	_	_	_	
1-462	2577-2584	kakšnem	_	_	_	_	
1-463	2585-2593	položaju	_	_	_	_	
1-464	2594-2596	so	_	_	_	_	
1-465	2597-2605	dejansko	_	_	_	_	
1-466	2606-2613	delavci	_	_	_	_	
1-467	2614-2615	,	_	_	_	_	
1-468	2616-2621	potem	_	_	_	_	
1-469	2622-2624	to	_	_	_	_	
1-470	2625-2633	zagotovo	_	_	_	_	
1-471	2634-2636	ni	_	_	_	_	
1-472	2637-2645	pravilno	_	_	_	_	
1-473	2646-2654	ravnanje	_	_	_	_	
1-474	2655-2656	,	_	_	_	_	
1-475	2657-2659	je	_	_	_	_	
1-476	2660-2665	dejal	_	_	_	_	
1-477	2666-2669	Meh	PER	_	*->11-13	*[11]	
1-478	2670-2671	.	_	_	_	_	
1-479	2672-2676	Foto	_	_	_	_	
1-480	2677-2680	POP	ORG[26]	3 - Nevtralno[36]	*->10-1	*[10]	
1-481	2681-2683	TV	ORG[26]	3 - Nevtralno[36]	*->10-1	*[10]	
1-482	2684-2692	Delavcem	_	_	_	_	
1-483	2693-2697	obeh	_	_	_	_	
1-484	2698-2706	podjetij	_	_	_	_	
1-485	2707-2709	so	_	_	_	_	
1-486	2710-2715	takoj	_	_	_	_	
1-487	2716-2724	ponudili	_	_	_	_	
1-488	2725-2729	tudi	_	_	_	_	
1-489	2730-2740	brezplačno	_	_	_	_	
1-490	2741-2747	pravno	_	_	_	_	
1-491	2748-2753	pomoč	_	_	_	_	
1-492	2754-2755	,	_	_	_	_	
1-493	2756-2762	hkrati	_	_	_	_	
1-494	2763-2765	pa	_	_	_	_	
1-495	2766-2768	se	_	_	_	_	
1-496	2769-2770	z	_	_	_	_	
1-497	2771-2781	direktorji	_	_	_	_	
1-498	2782-2791	nekaterih	_	_	_	_	
1-499	2792-2798	večjih	_	_	_	_	
1-500	2799-2807	podjetij	_	_	_	_	
1-501	2808-2809	v	_	_	_	_	
1-502	2810-2816	regiji	_	_	_	_	
1-503	2817-2828	dogovarjajo	_	_	_	_	
1-504	2829-2830	,	_	_	_	_	
1-505	2831-2833	da	_	_	_	_	
1-506	2834-2836	bi	_	_	_	_	
1-507	2837-2845	finančno	_	_	_	_	
1-508	2846-2854	pomagali	_	_	_	_	
1-509	2855-2865	prebroditi	_	_	_	_	
1-510	2866-2874	najhujše	_	_	_	_	
1-511	2875-2881	težave	_	_	_	_	
1-512	2882-2883	.	_	_	_	_	
1-513	2884-2889	Župan	PER[27]	4 - Pozitivno[37]	*->11-14	*[11]	
1-514	2890-2893	Meh	PER[27]	4 - Pozitivno[37]	*->11-14	*[11]	
1-515	2894-2896	še	_	_	_	_	
1-516	2897-2905	opozarja	_	_	_	_	
1-517	2906-2907	,	_	_	_	_	
1-518	2908-2910	da	_	_	_	_	
1-519	2911-2917	stečaj	_	_	_	_	
1-520	2918-2925	Vegrada	ORG	_	*->16-5	*[16]	
1-521	2926-2933	posebej	_	_	_	_	
1-522	2934-2942	velikega	_	_	_	_	
1-523	2943-2949	vpliva	_	_	_	_	
1-524	2950-2952	na	_	_	_	_	
1-525	2953-2961	socialne	_	_	_	_	
1-526	2962-2969	razmere	_	_	_	_	
1-527	2970-2971	v	_	_	_	_	
1-528	2972-2979	Šaleški	LOC[28]	3 - Nevtralno[38]	*->12-1	*[12]	
1-529	2980-2986	dolini	LOC[28]	3 - Nevtralno[38]	*->12-1	*[12]	
1-530	2987-2989	ne	_	_	_	_	
1-531	2990-2992	bo	_	_	_	_	
1-532	2993-2997	imel	_	_	_	_	
1-533	2998-2999	,	_	_	_	_	
1-534	3000-3002	če	_	_	_	_	
1-535	3003-3007	bodo	_	_	_	_	
1-536	3008-3011	vsi	_	_	_	_	
1-537	3012-3018	skupaj	_	_	_	_	
1-538	3019-3029	pravočasno	_	_	_	_	
1-539	3030-3038	ukrepali	_	_	_	_	
1-540	3039-3040	.	_	_	_	_	
1-541	3041-3049	Poslanec	_	_	*->15-2	*[15]	
1-542	3050-3052	SD	ORG	3 - Nevtralno	*->15-2|*->13-1	*[15]|*[13]	
1-543	3053-3058	Bojan	PER[29]	_	*->15-2	*[15]	
1-544	3059-3065	Kontič	PER[29]	_	*->15-2	*[15]	
1-545	3066-3068	je	_	_	_	_	
1-546	3069-3071	ob	_	_	_	_	
1-547	3072-3075	tem	_	_	_	_	
1-548	3076-3083	opomnil	_	_	_	_	
1-549	3084-3085	,	_	_	_	_	
1-550	3086-3088	da	_	_	_	_	
1-551	3089-3091	se	_	_	_	_	
1-552	3092-3094	je	_	_	_	_	
1-553	3095-3100	znova	_	_	_	_	
1-554	3101-3102	v	_	_	_	_	
1-555	3103-3109	praksi	_	_	_	_	
1-556	3110-3118	pokazalo	_	_	_	_	
1-557	3119-3120	,	_	_	_	_	
1-558	3121-3125	kako	_	_	_	_	
1-559	3126-3131	nekdo	_	_	_	_	
1-560	3132-3133	v	_	_	_	_	
1-561	3134-3138	času	_	_	_	_	
1-562	3139-3146	uspehov	_	_	_	_	
1-563	3147-3149	ne	_	_	_	_	
1-564	3150-3159	potrebuje	_	_	_	_	
1-565	3160-3166	države	_	_	_	_	
1-566	3167-3169	in	_	_	_	_	
1-567	3170-3177	lokalne	_	_	_	_	
1-568	3178-3187	skupnosti	_	_	_	_	
1-569	3188-3189	,	_	_	_	_	
1-570	3190-3192	ko	_	_	_	_	
1-571	3193-3195	pa	_	_	_	_	
1-572	3196-3201	pride	_	_	_	_	
1-573	3202-3204	do	_	_	_	_	
1-574	3205-3210	težav	_	_	_	_	
1-575	3211-3212	,	_	_	_	_	
1-576	3213-3221	kakršnim	_	_	_	_	
1-577	3222-3225	smo	_	_	_	_	
1-578	3226-3231	danes	_	_	_	_	
1-579	3232-3237	priča	_	_	_	_	
1-580	3238-3239	v	_	_	_	_	
1-581	3240-3247	Vegradu	ORG	_	*->16-6	*[16]	
1-582	3248-3249	,	_	_	_	_	
1-583	3250-3255	potem	_	_	_	_	
1-584	3256-3258	je	_	_	_	_	
1-585	3259-3263	klic	_	_	_	_	
1-586	3264-3266	na	_	_	_	_	
1-587	3267-3272	pomoč	_	_	_	_	
1-588	3273-3278	hitro	_	_	_	_	
1-589	3279-3281	tu	_	_	_	_	
1-590	3282-3283	.	_	_	_	_	
1-591	3284-3290	Država	_	_	_	_	
1-592	3291-3295	mora	_	_	_	_	
1-593	3296-3306	zagotoviti	_	_	_	_	
1-594	3307-3315	predvsem	_	_	_	_	
1-595	3316-3323	sprejem	_	_	_	_	
1-596	3324-3334	zakonodaje	_	_	_	_	
1-597	3335-3336	,	_	_	_	_	
1-598	3337-3339	ki	_	_	_	_	
1-599	3340-3342	bi	_	_	_	_	
1-600	3343-3353	preprečila	_	_	_	_	
1-601	3354-3363	posamezne	_	_	_	_	
1-602	3364-3374	nepravilne	_	_	_	_	
1-603	3375-3382	odklone	_	_	_	_	
1-604	3383-3384	,	_	_	_	_	
1-605	3385-3387	ki	_	_	_	_	
1-606	3388-3390	se	_	_	_	_	
1-607	3391-3395	zdaj	_	_	_	_	
1-608	3396-3404	dogajajo	_	_	_	_	
1-609	3405-3406	v	_	_	_	_	
1-610	3407-3411	naši	_	_	_	_	
1-611	3412-3418	družbi	_	_	_	_	
1-612	3419-3420	.	_	_	_	_	
1-613	3421-3422	A	_	_	_	_	
1-614	3423-3424	z	_	_	_	_	
1-615	3425-3431	zakoni	_	_	_	_	
1-616	3432-3434	se	_	_	_	_	
1-617	3435-3440	vsega	_	_	_	_	
1-618	3441-3443	ne	_	_	_	_	
1-619	3444-3446	da	_	_	_	_	
1-620	3447-3457	preprečiti	_	_	_	_	
1-621	3458-3459	,	_	_	_	_	
1-622	3460-3462	če	_	_	_	_	
1-623	3463-3465	ni	_	_	_	_	
1-624	3466-3473	posluha	_	_	_	_	
1-625	3474-3476	za	_	_	_	_	
1-626	3477-3483	pravno	_	_	_	_	
1-627	3484-3490	državo	_	_	_	_	
1-628	3491-3492	,	_	_	_	_	
1-629	3493-3500	socialo	_	_	_	_	
1-630	3501-3503	in	_	_	_	_	
1-631	3504-3515	solidarnost	_	_	_	_	
1-632	3516-3517	,	_	_	_	_	
1-633	3518-3520	je	_	_	_	_	
1-634	3521-3526	dejal	_	_	_	_	
1-635	3527-3533	Kontič	PER	4 - Pozitivno	*->15-3	*[15]	
1-636	3534-3535	.	_	_	_	_	
1-637	3536-3546	Predsednik	_	_	*->14-1	*[14]	
1-638	3547-3554	Rdečega	ORG[30]	_	*->14-1|*->6-2	*[14]|*[6]	
1-639	3555-3560	križa	ORG[30]	_	*->14-1|*->6-2	*[14]|*[6]	
1-640	3561-3568	Velenje	ORG[30]|LOC[31]	3 - Nevtralno	*->14-1|*->6-2|*->9-12	*[14]|*[6]|*[9]	
1-641	3569-3573	Jože	PER[32]	_	*->14-1	*[14]	
1-642	3574-3579	Kožar	PER[32]	_	*->14-1	*[14]	
1-643	3580-3582	je	_	_	_	_	
1-644	3583-3590	izrazil	_	_	_	_	
1-645	3591-3598	veselje	_	_	_	_	
1-646	3599-3605	zaradi	_	_	_	_	
1-647	3606-3612	lanske	_	_	_	_	
1-648	3613-3624	ustanovitve	_	_	_	_	
1-649	3625-3627	že	_	_	_	_	
1-650	3628-3638	omenjenega	_	_	_	_	
1-651	3639-3645	odbora	_	_	_	_	
1-652	3646-3648	za	_	_	_	_	
1-653	3649-3654	pomoč	_	_	_	_	
1-654	3655-3656	,	_	_	_	_	
1-655	3657-3660	saj	_	_	_	_	
1-656	3661-3663	so	_	_	_	_	
1-657	3664-3666	na	_	_	_	_	
1-658	3667-3669	ta	_	_	_	_	
1-659	3670-3675	način	_	_	_	_	
1-660	3676-3681	tisti	_	_	_	_	
1-661	3682-3683	,	_	_	_	_	
1-662	3684-3686	ki	_	_	_	_	
1-663	3687-3693	želijo	_	_	_	_	
1-664	3694-3696	in	_	_	_	_	
1-665	3697-3702	lahko	_	_	_	_	
1-666	3703-3711	pomagajo	_	_	_	_	
1-667	3712-3713	,	_	_	_	_	
1-668	3714-3721	postali	_	_	_	_	
1-669	3722-3726	bolj	_	_	_	_	
1-670	3727-3732	močni	_	_	_	_	
1-671	3733-3734	.	_	_	_	_	
1-672	3735-3738	Kot	_	_	_	_	
1-673	3739-3741	je	_	4 - Pozitivno[39]	*->14-2	*[14]	
1-674	3742-3747	dejal	_	4 - Pozitivno[39]	*->14-2	*[14]	
1-675	3748-3749	,	_	_	_	_	
1-676	3750-3752	so	_	_	_	_	
1-677	3753-3757	sami	_	_	*->6-3	*[6]	
1-678	3758-3763	sicer	_	_	_	_	
1-679	3764-3766	že	_	_	_	_	
1-680	3767-3771	pred	_	_	_	_	
1-681	3772-3777	tremi	_	_	_	_	
1-682	3778-3783	tedni	_	_	_	_	
1-683	3784-3786	po	_	_	_	_	
1-684	3787-3794	seznamu	_	_	_	_	
1-685	3795-3796	,	_	_	_	_	
1-686	3797-3799	ki	_	_	_	_	
1-687	3800-3802	so	_	_	_	_	
1-688	3803-3805	ga	_	_	_	_	
1-689	3806-3813	prejeli	_	_	*->6-4	*[6]	
1-690	3814-3816	od	_	_	_	_	
1-691	3817-3828	Vegradovega	_	1 - Zelo negativno	*->16-7	*[16]	
1-692	3829-3838	sindikata	_	_	_	_	
1-693	3839-3840	,	_	_	_	_	
1-694	3841-3844	230	_	_	_	_	
1-695	3845-3853	delavcem	_	_	_	_	
1-696	3854-3863	razdelili	_	_	*->6-5	*[6]	
1-697	3864-3874	prehranske	_	_	_	_	
1-698	3875-3881	pakete	_	_	_	_	
1-699	3882-3884	in	_	_	_	_	
1-700	3885-3891	pralni	_	_	_	_	
1-701	3892-3898	prašek	_	_	_	_	
1-702	3899-3900	.	_	_	_	_	
1-703	3901-3908	Paketov	_	_	_	_	
1-704	3909-3914	imajo	_	_	*->6-6	*[6]	
1-705	3915-3917	še	_	_	_	_	
1-706	3918-3924	dovolj	_	_	_	_	
1-707	3925-3927	in	_	_	_	_	
1-708	3928-3931	jih	_	_	_	_	
1-709	3932-3938	delijo	_	_	*->6-7	*[6]	
1-710	3939-3944	vsako	_	_	_	_	
1-711	3945-3950	sredo	_	_	_	_	
1-712	3951-3952	,	_	_	_	_	
1-713	3953-3959	skupaj	_	_	_	_	
1-714	3960-3961	z	_	_	_	_	
1-715	3962-3968	občino	_	4 - Pozitivno	*->7-10	*[7]	
1-716	3969-3971	pa	_	_	_	_	
1-717	3972-3974	so	_	_	_	_	
1-718	3975-3984	poskrbeli	_	5 - Zelo pozitivno	*->6-8	*[6]	
1-719	3985-3989	tudi	_	_	_	_	
1-720	3990-3992	za	_	_	_	_	
1-721	3993-3999	šolske	_	_	_	_	
1-722	4000-4011	potrebščine	_	_	_	_	
1-723	4012-4015	118	_	_	_	_	
1-724	4016-4021	otrok	_	_	_	_	
