#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Pivovarna Laško je , potem ko ji je Urad za varstvo konkurence začasno prepovedal razpolaganje z delnicami Mercatorja , proti temu organu vložila tožbo . Kad pa predlaga dokapitalizacijo družbe . Predsednik uprave Skupine Pivovarne Laško Dušan Zorko Družba Skupina Pivovarna Laško je vložila tožbo zoper Urad za varstvo konkurence UVK , ker je ta v torek tik pred sejo nadzornega sveta izdal odločbo o omejitvi razpolaganja z delnicami Mercatorja . Skupina je namreč 23,34 - odstotna lastnica največjega slovenskega trgovskega podjetja . 30 . aprila se izteče rok za odločanje o prodaji Mercatorjevih delnic hrvaškemu Agrokorju . Pivovarna Laško , ki mora Mercatorjeve delnice prodati , je nameravala to storiti . To je že četrti poskus prodaje Mercatorja , prodajali so ga že pred mojim vstopom v Laško , pa ga je vedno nekdo ustavil . Sprejemam stališče , da je Mercator neki strateški interes , jaz pa odgovarjam za sanacijo Skupine Pivovarna Laško in za njeno upravljanje , je za časopis Delo povedal predsednik uprave Skupine Pivovarne Laško Dušan Zorko . Banke , ki so lastnice okoli 53 - odstotnega deleža Pivovarne Laško , so zahtevale , da družba proda svoj osnovni kapital , ki ni potreben za pijačarski posel , to pa pomeni , da mora prodati delnice Mercatorja , Dela in Večera . Do zdaj niso prodali še nobene delnice teh podjetij , pri tem pa se Zorko sprašuje , kako naj kaj prodajo , če pa jim preprečujejo samostojno odločanje o njihovem premoženju . Smo tik pred tem , da umremo , če nam ne uspe prodati nepotrebnega premoženja in reprogramirati kreditov , še dodaja Zorko . 30 . aprila jim namreč zapade kredit v višini 9 milijonov evrov , do konca junija pa bi morali reprogramirati večino od 450 milijonov evrov posojil . Z urada za varstvo konkurence pa so sporočili , da so v torek izdali odločbo Centralno klirinško depotni družbi KDD , s katero so ji naložili , da prepove izvedbo lastništva delnic Mercatorja do izdaje odločbe o skladnosti koncentracije s pravili konkurence . Ta odločba družbi KDD se nanaša na postopek , ki ga je urad uvedel po uradni dolžnosti s sklepom z dne 30 . marca , ker je bila izkazana verjetnost , da je prišlo do koncentracije , ki je podrejena določbam zakona o preprečevanju omejevanja konkurence , in je podjetja , ki bi morala koncentracijo priglasiti uradu , niso priglasila . Nadzorniki Laškega naj bi v petek znova razpravljal o prodaji svojega deleža v Mercatorju hrvaškemu Agrokorju . Nadzorniki naj bi zaradi odločbe varuha konkurence odločali o morebitni prodaji deleža z odložnim pogojem , razpravljali pa naj bi tudi o pridružitvi konzorciju bank za skupno prodajo delnic Mercatorja . Kad želi dokapitalizacijo pivovarne Sicer pa Kapitalska družba Kad zahteva sklic skupščine družbe Pivovarne Laško , na katerem bi odločali glede predloga o dopolnitvi statuta družbe z določilom o odobrenem kapitalu . To določilo bi upravo pooblaščalo , da v obdobju petih let po vpisu dopolnitve statuta v sodni register poveča osnovni kapital družbe do 50 odstotkov osnovnega kapitala družbe , ki obstaja v času sprejema dopolnitev statuta , kar predstavlja največ 18,25 milijona evrov , z izdajo novih delnic za denarne vložke . Pri tem je Kad v zahtevi zapisal , da , v kolikor bo uprava družbe ocenila , da so izpolnjeni pogoji za odločanje delničarjev na skupščini o rednem povečanju osnovnega kapitala , skupščini s predlaganimi sklepi o rednem povečanju osnovnega kapitala ne bo nasprotoval , ampak bo štel , da je s takšnim sklicem skupščine ugodeno njegovi zahtevi . VZMD poziva upravo Pivovarne Laško , da sprejme edino smiselno in poslovno neškodljivo odločitev ter podpiše sporazum o skupni prodaji večinskega paketa delnic . Vsakršna drugačna odločitev bi po mnenju strokovnih sodelavcev VZMD lahko dodatno ogrozila perspektivo ter celo obstoj Pivovarne Laško . Hkrati v Kadu kot 7,06 - odstotnem lastniku Pivovarne Laško dodajajo , da so pod ekonomsko upravičenimi pogoji pripravljeni sodelovati v sorazmernem deležu pri dokapitalizaciji družbe . Pri tem pozivajo upravo družbe , da skupščina zaseda čim prej , vendar ne pozneje kot v dveh mesecih od prejema zahteve , sicer bodo uveljavili svoje korporacijske pravice v skladu z zakonodajo . V Kadu svojo zahtevo pojasnjujejo s tem , da je finančni položaj skupine Pivovarna Laško zelo resen . Kapital skupine je konec leta 2010 znašal 131,9 milijona evrov in je bil za 30,7 milijona evrov manjši kot konec leta 2009 . Poleg tega visok finančni dolg obremenjuje tekoče poslovanje ter ogroža obstoj in razvoj skupine . Foto Damjan Žibert Ostali bi prezadolženi Konec leta 2010 je skupina izkazovala primanjkljaj obratnega kapitala v višini 44,7 milijona evrov , finančne obveznosti pa so znašale 397,5 milijona evrov . V Kadu menijo , da bi kljub morebitni uspešni izvedbi odprodaje finančnih naložb in poslovno nepotrebnega premoženja obvladujoča družba še vedno ostala prezadolžena . Ob tem navajajo , da razmerje med finančnim dolgom in lastniškim kapitalom skupine znaša 3,0 , finančni odhodki z naslova obresti na dolg matične družbe pa so v letu 2010 znašali 13 milijonov evrov in za 1,8 milijona evrov presegli ustvarjen dobiček iz poslovanja . Tako visoke obresti ogrožajo nemoteno poslovanje in razvoj družbe . S povečanjem trajnih virov bi družba omogočila ohranjanje in povečevanje vrednosti premoženja svojim lastnikom , je zapisal predsednik uprave Kada Borut Jamnik in dodal , da bodo dodatni viri imeli ugoden učinek na vrednost delnice oziroma lastniškega premoženja
1-1	0-9	Pivovarna	ORG[1]	_	*->1-1	*[1]	
1-341	1989-1999	konkurence	_	_	_	_	
1-342	2000-2001	.	_	_	_	_	
1-343	2002-2004	Ta	_	_	_	_	
1-344	2005-2012	odločba	_	_	_	_	
1-345	2013-2019	družbi	_	2 - Negativno[33]	*->8-4	*[8]	
1-346	2020-2023	KDD	ORG	2 - Negativno[33]	*->8-4	*[8]	
1-347	2024-2026	se	_	_	_	_	
1-348	2027-2033	nanaša	_	_	_	_	
1-349	2034-2036	na	_	_	_	_	
1-350	2037-2045	postopek	_	_	_	_	
1-351	2046-2047	,	_	_	_	_	
1-352	2048-2050	ki	_	_	_	_	
1-353	2051-2053	ga	_	_	_	_	
1-354	2054-2056	je	_	_	_	_	
1-355	2057-2061	urad	_	_	*->2-7	*[2]	
1-356	2062-2068	uvedel	_	_	_	_	
1-357	2069-2071	po	_	_	_	_	
1-358	2072-2078	uradni	_	_	_	_	
1-359	2079-2088	dolžnosti	_	_	_	_	
1-360	2089-2090	s	_	_	_	_	
1-361	2091-2098	sklepom	_	_	_	_	
1-362	2099-2100	z	_	_	_	_	
1-363	2101-2104	dne	_	_	_	_	
1-364	2105-2107	30	_	_	_	_	
1-365	2108-2109	.	_	_	_	_	
1-366	2110-2115	marca	_	_	_	_	
1-367	2116-2117	,	_	_	_	_	
1-368	2118-2121	ker	_	_	_	_	
1-369	2122-2124	je	_	_	_	_	
1-370	2125-2129	bila	_	_	_	_	
1-371	2130-2138	izkazana	_	_	_	_	
1-372	2139-2149	verjetnost	_	_	_	_	
1-373	2150-2151	,	_	_	_	_	
1-374	2152-2154	da	_	_	_	_	
1-375	2155-2157	je	_	_	_	_	
1-376	2158-2164	prišlo	_	_	_	_	
1-377	2165-2167	do	_	_	_	_	
1-378	2168-2181	koncentracije	_	_	_	_	
1-379	2182-2183	,	_	_	_	_	
1-380	2184-2186	ki	_	_	_	_	
1-381	2187-2189	je	_	_	_	_	
1-382	2190-2199	podrejena	_	_	_	_	
1-383	2200-2208	določbam	_	_	_	_	
1-384	2209-2215	zakona	_	_	_	_	
1-385	2216-2217	o	_	_	_	_	
1-386	2218-2231	preprečevanju	_	_	_	_	
1-387	2232-2242	omejevanja	_	_	_	_	
1-388	2243-2253	konkurence	_	_	_	_	
1-389	2254-2255	,	_	_	_	_	
1-390	2256-2258	in	_	_	_	_	
1-391	2259-2261	je	_	_	_	_	
1-392	2262-2270	podjetja	_	_	_	_	
1-393	2271-2272	,	_	_	_	_	
1-394	2273-2275	ki	_	_	_	_	
1-395	2276-2278	bi	_	_	_	_	
1-396	2279-2285	morala	_	_	_	_	
1-397	2286-2299	koncentracijo	_	_	_	_	
1-398	2300-2310	priglasiti	_	_	_	_	
1-399	2311-2316	uradu	_	2 - Negativno	*->2-8	*[2]	
1-400	2317-2318	,	_	_	_	_	
1-401	2319-2323	niso	_	_	_	_	
1-402	2324-2334	priglasila	_	_	_	_	
1-403	2335-2336	.	_	_	_	_	
1-404	2337-2347	Nadzorniki	_	_	_	_	
1-405	2348-2355	Laškega	ORG	_	*->1-26	*[1]	
1-406	2356-2359	naj	_	_	_	_	
1-407	2360-2362	bi	_	_	_	_	
1-408	2363-2364	v	_	_	_	_	
1-409	2365-2370	petek	_	_	_	_	
1-410	2371-2376	znova	_	_	_	_	
1-411	2377-2388	razpravljal	_	_	_	_	
1-412	2389-2390	o	_	_	_	_	
1-413	2391-2398	prodaji	_	_	_	_	
1-414	2399-2406	svojega	_	_	_	_	
1-415	2407-2413	deleža	_	_	_	_	
1-416	2414-2415	v	_	_	_	_	
1-417	2416-2426	Mercatorju	ORG	_	*->6-12	*[6]	
1-418	2427-2436	hrvaškemu	_	_	_	_	
1-419	2437-2446	Agrokorju	ORG	3 - Nevtralno	*->4-2	*[4]	
1-420	2447-2448	.	_	_	_	_	
1-421	2449-2459	Nadzorniki	_	_	_	_	
1-422	2460-2463	naj	_	_	_	_	
1-423	2464-2466	bi	_	_	_	_	
1-424	2467-2473	zaradi	_	_	_	_	
1-425	2474-2481	odločbe	_	_	_	_	
1-426	2482-2488	varuha	_	_	_	_	
1-427	2489-2499	konkurence	_	_	_	_	
1-428	2500-2508	odločali	_	_	_	_	
1-429	2509-2510	o	_	_	_	_	
1-430	2511-2520	morebitni	_	_	_	_	
1-431	2521-2528	prodaji	_	_	_	_	
1-432	2529-2535	deleža	_	_	_	_	
1-433	2536-2537	z	_	_	_	_	
1-434	2538-2546	odložnim	_	_	_	_	
1-435	2547-2554	pogojem	_	_	_	_	
1-436	2555-2556	,	_	_	_	_	
1-437	2557-2569	razpravljali	_	_	_	_	
1-438	2570-2572	pa	_	_	_	_	
1-439	2573-2576	naj	_	_	_	_	
1-440	2577-2579	bi	_	_	_	_	
1-441	2580-2584	tudi	_	_	_	_	
1-442	2585-2586	o	_	_	_	_	
1-443	2587-2598	pridružitvi	_	_	_	_	
1-444	2599-2609	konzorciju	_	_	_	_	
1-445	2610-2614	bank	_	_	_	_	
1-446	2615-2617	za	_	_	_	_	
1-447	2618-2624	skupno	_	_	_	_	
1-448	2625-2632	prodajo	_	_	_	_	
1-449	2633-2639	delnic	_	_	_	_	
1-450	2640-2650	Mercatorja	ORG	2 - Negativno	*->6-13	*[6]	
1-451	2651-2652	.	_	_	_	_	
1-452	2653-2656	Kad	ORG	_	*->10-2	*[10]	
1-453	2657-2661	želi	_	_	_	_	
1-454	2662-2678	dokapitalizacijo	_	_	_	_	
1-455	2679-2688	pivovarne	_	_	*->1-27	*[1]	
1-456	2689-2694	Sicer	_	_	_	_	
1-457	2695-2697	pa	_	_	_	_	
1-458	2698-2708	Kapitalska	ORG[20]	_	*->10-3	*[10]	
1-459	2709-2715	družba	ORG[20]	_	*->10-3	*[10]	
1-460	2716-2719	Kad	ORG[20]	_	*->10-3	*[10]	
1-461	2720-2727	zahteva	_	_	_	_	
1-462	2728-2733	sklic	_	_	_	_	
1-463	2734-2743	skupščine	_	_	_	_	
1-464	2744-2750	družbe	_	_	*->1-28	*[1]	
1-465	2751-2760	Pivovarne	ORG[21]	_	*->1-28	*[1]	
1-466	2761-2766	Laško	ORG[21]|LOC[22]	_	*->1-28|*->11-8	*[1]|*[11]	
1-467	2767-2768	,	_	_	_	_	
1-468	2769-2771	na	_	_	_	_	
1-469	2772-2779	katerem	_	_	_	_	
1-470	2780-2782	bi	_	_	_	_	
1-471	2783-2791	odločali	_	_	_	_	
1-472	2792-2797	glede	_	_	_	_	
1-473	2798-2806	predloga	_	_	_	_	
1-474	2807-2808	o	_	_	_	_	
1-475	2809-2819	dopolnitvi	_	_	_	_	
1-476	2820-2827	statuta	_	_	_	_	
1-477	2828-2834	družbe	_	_	*->1-29	*[1]	
1-478	2835-2836	z	_	_	_	_	
1-479	2837-2846	določilom	_	_	_	_	
1-480	2847-2848	o	_	_	_	_	
1-481	2849-2858	odobrenem	_	_	_	_	
1-482	2859-2867	kapitalu	_	_	_	_	
1-483	2868-2869	.	_	_	_	_	
1-484	2870-2872	To	_	_	_	_	
1-485	2873-2881	določilo	_	_	_	_	
1-486	2882-2884	bi	_	_	_	_	
1-487	2885-2891	upravo	_	_	_	_	
1-488	2892-2903	pooblaščalo	_	_	_	_	
1-489	2904-2905	,	_	_	_	_	
1-490	2906-2908	da	_	_	_	_	
1-491	2909-2910	v	_	_	_	_	
1-492	2911-2918	obdobju	_	_	_	_	
1-493	2919-2924	petih	_	_	_	_	
1-494	2925-2928	let	_	_	_	_	
1-495	2929-2931	po	_	_	_	_	
1-496	2932-2937	vpisu	_	_	_	_	
1-497	2938-2948	dopolnitve	_	_	_	_	
1-498	2949-2956	statuta	_	_	_	_	
1-499	2957-2958	v	_	_	_	_	
1-500	2959-2964	sodni	_	_	_	_	
1-501	2965-2973	register	_	_	_	_	
1-502	2974-2980	poveča	_	_	_	_	
1-503	2981-2988	osnovni	_	_	_	_	
1-504	2989-2996	kapital	_	_	_	_	
1-505	2997-3003	družbe	_	_	*->1-30	*[1]	
1-506	3004-3006	do	_	_	_	_	
1-507	3007-3009	50	_	_	_	_	
1-508	3010-3019	odstotkov	_	_	_	_	
1-509	3020-3029	osnovnega	_	_	_	_	
1-510	3030-3038	kapitala	_	_	_	_	
1-511	3039-3045	družbe	_	_	*->1-31	*[1]	
1-512	3046-3047	,	_	_	_	_	
1-513	3048-3050	ki	_	_	_	_	
1-514	3051-3058	obstaja	_	_	_	_	
1-515	3059-3060	v	_	_	_	_	
1-516	3061-3065	času	_	_	_	_	
1-517	3066-3074	sprejema	_	_	_	_	
1-518	3075-3085	dopolnitev	_	_	_	_	
1-519	3086-3093	statuta	_	_	_	_	
1-520	3094-3095	,	_	_	_	_	
1-521	3096-3099	kar	_	_	_	_	
1-522	3100-3111	predstavlja	_	_	_	_	
1-523	3112-3118	največ	_	_	_	_	
1-524	3119-3124	18,25	_	_	_	_	
1-525	3125-3133	milijona	_	_	_	_	
1-526	3134-3139	evrov	_	_	_	_	
1-527	3140-3141	,	_	_	_	_	
1-528	3142-3143	z	_	_	_	_	
1-529	3144-3150	izdajo	_	_	_	_	
1-530	3151-3156	novih	_	_	_	_	
1-531	3157-3163	delnic	_	_	_	_	
1-532	3164-3166	za	_	_	_	_	
1-533	3167-3174	denarne	_	_	_	_	
1-534	3175-3181	vložke	_	_	_	_	
1-535	3182-3183	.	_	_	_	_	
1-536	3184-3187	Pri	_	_	_	_	
1-537	3188-3191	tem	_	_	_	_	
1-538	3192-3194	je	_	_	_	_	
1-539	3195-3198	Kad	ORG	_	*->10-4	*[10]	
1-540	3199-3200	v	_	_	_	_	
1-541	3201-3208	zahtevi	_	_	_	_	
1-542	3209-3216	zapisal	_	_	_	_	
1-543	3217-3218	,	_	_	_	_	
1-544	3219-3221	da	_	_	_	_	
1-545	3222-3223	,	_	_	_	_	
1-546	3224-3225	v	_	_	_	_	
1-547	3226-3233	kolikor	_	_	_	_	
1-548	3234-3236	bo	_	_	_	_	
1-549	3237-3243	uprava	_	_	_	_	
1-550	3244-3250	družbe	_	_	*->1-32	*[1]	
1-551	3251-3258	ocenila	_	_	_	_	
1-552	3259-3260	,	_	_	_	_	
1-553	3261-3263	da	_	_	_	_	
1-554	3264-3266	so	_	_	_	_	
1-555	3267-3277	izpolnjeni	_	_	_	_	
1-556	3278-3284	pogoji	_	_	_	_	
1-557	3285-3287	za	_	_	_	_	
1-558	3288-3297	odločanje	_	_	_	_	
1-559	3298-3309	delničarjev	_	_	_	_	
1-560	3310-3312	na	_	_	_	_	
1-561	3313-3322	skupščini	_	_	_	_	
1-562	3323-3324	o	_	_	_	_	
1-563	3325-3331	rednem	_	_	_	_	
1-564	3332-3341	povečanju	_	_	_	_	
1-565	3342-3351	osnovnega	_	_	_	_	
1-566	3352-3360	kapitala	_	_	_	_	
1-567	3361-3362	,	_	_	_	_	
1-568	3363-3372	skupščini	_	_	_	_	
1-569	3373-3374	s	_	_	_	_	
1-570	3375-3387	predlaganimi	_	_	_	_	
1-571	3388-3394	sklepi	_	_	_	_	
1-572	3395-3396	o	_	_	_	_	
1-573	3397-3403	rednem	_	_	_	_	
1-574	3404-3413	povečanju	_	_	_	_	
1-575	3414-3423	osnovnega	_	_	_	_	
1-576	3424-3432	kapitala	_	_	_	_	
1-577	3433-3435	ne	_	_	_	_	
1-578	3436-3438	bo	_	_	_	_	
1-579	3439-3450	nasprotoval	_	_	*->10-5	*[10]	
1-580	3451-3452	,	_	_	_	_	
1-581	3453-3458	ampak	_	_	_	_	
1-582	3459-3461	bo	_	_	_	_	
1-583	3462-3466	štel	_	_	*->10-6	*[10]	
1-584	3467-3468	,	_	_	_	_	
1-585	3469-3471	da	_	_	_	_	
1-586	3472-3474	je	_	_	_	_	
1-587	3475-3476	s	_	_	_	_	
1-588	3477-3484	takšnim	_	_	_	_	
1-589	3485-3492	sklicem	_	_	_	_	
1-590	3493-3502	skupščine	_	_	_	_	
1-591	3503-3510	ugodeno	_	_	_	_	
1-592	3511-3518	njegovi	_	_	*->10-7	*[10]	
1-593	3519-3526	zahtevi	_	_	_	_	
1-594	3527-3528	.	_	_	_	_	
1-595	3529-3533	VZMD	ORG	_	*->9-1	*[9]	
1-596	3534-3540	poziva	_	_	_	_	
1-597	3541-3547	upravo	_	_	_	_	
1-598	3548-3557	Pivovarne	ORG[23]	_	*->1-33	*[1]	
1-599	3558-3563	Laško	ORG[23]|LOC[24]	_	*->1-33|*->11-9	*[1]|*[11]	
1-600	3564-3565	,	_	_	_	_	
1-601	3566-3568	da	_	_	_	_	
1-602	3569-3576	sprejme	_	_	_	_	
1-603	3577-3582	edino	_	_	_	_	
1-604	3583-3591	smiselno	_	_	_	_	
1-605	3592-3594	in	_	_	_	_	
1-606	3595-3603	poslovno	_	_	_	_	
1-607	3604-3615	neškodljivo	_	_	_	_	
1-608	3616-3625	odločitev	_	_	_	_	
1-609	3626-3629	ter	_	_	_	_	
1-610	3630-3637	podpiše	_	_	_	_	
1-611	3638-3646	sporazum	_	_	_	_	
1-612	3647-3648	o	_	_	_	_	
1-613	3649-3655	skupni	_	_	_	_	
1-614	3656-3663	prodaji	_	_	_	_	
1-615	3664-3674	večinskega	_	_	_	_	
1-616	3675-3681	paketa	_	_	_	_	
1-617	3682-3688	delnic	_	_	_	_	
1-618	3689-3690	.	_	_	_	_	
1-619	3691-3699	Vsakršna	_	_	_	_	
1-620	3700-3708	drugačna	_	_	_	_	
1-621	3709-3718	odločitev	_	_	_	_	
1-622	3719-3721	bi	_	_	_	_	
1-623	3722-3724	po	_	_	_	_	
1-624	3725-3731	mnenju	_	_	_	_	
1-625	3732-3742	strokovnih	_	_	_	_	
1-626	3743-3753	sodelavcev	_	_	_	_	
1-627	3754-3758	VZMD	ORG	3 - Nevtralno	*->9-2	*[9]	
1-628	3759-3764	lahko	_	_	_	_	
1-629	3765-3772	dodatno	_	_	_	_	
1-630	3773-3781	ogrozila	_	_	_	_	
1-631	3782-3793	perspektivo	_	_	_	_	
1-632	3794-3797	ter	_	_	_	_	
1-633	3798-3802	celo	_	_	_	_	
1-634	3803-3809	obstoj	_	_	_	_	
1-635	3810-3819	Pivovarne	ORG[25]	_	*->1-34	*[1]	
1-636	3820-3825	Laško	ORG[25]|LOC[26]	_	*->1-34|*->11-10	*[1]|*[11]	
1-637	3826-3827	.	_	_	_	_	
1-638	3828-3834	Hkrati	_	_	_	_	
1-639	3835-3836	v	_	_	_	_	
1-640	3837-3841	Kadu	ORG	_	*->10-8	*[10]	
1-641	3842-3845	kot	_	_	_	_	
1-642	3846-3850	7,06	_	_	*->10-9	*[10]	
1-643	3851-3852	-	_	_	*->10-9	*[10]	
1-644	3853-3862	odstotnem	_	_	*->10-9	*[10]	
1-645	3863-3871	lastniku	_	_	*->10-9	*[10]	
1-646	3872-3881	Pivovarne	ORG[27]	_	*->10-9|*->1-35	*[10]|*[1]	
1-647	3882-3887	Laško	ORG[27]|LOC[28]	_	*->10-9|*->1-35|*->11-11	*[10]|*[1]|*[11]	
1-648	3888-3896	dodajajo	_	_	_	_	
1-649	3897-3898	,	_	_	_	_	
1-650	3899-3901	da	_	_	_	_	
1-651	3902-3904	so	_	_	_	_	
1-652	3905-3908	pod	_	_	_	_	
1-653	3909-3918	ekonomsko	_	_	_	_	
1-654	3919-3931	upravičenimi	_	_	_	_	
1-655	3932-3938	pogoji	_	_	_	_	
1-656	3939-3951	pripravljeni	_	_	_	_	
1-657	3952-3962	sodelovati	_	_	_	_	
1-658	3963-3964	v	_	_	_	_	
1-659	3965-3976	sorazmernem	_	_	_	_	
1-660	3977-3983	deležu	_	_	_	_	
1-661	3984-3987	pri	_	_	_	_	
1-662	3988-4004	dokapitalizaciji	_	_	_	_	
1-663	4005-4011	družbe	_	_	*->1-36	*[1]	
1-664	4012-4013	.	_	_	_	_	
1-665	4014-4017	Pri	_	_	_	_	
1-666	4018-4021	tem	_	_	_	_	
1-667	4022-4030	pozivajo	_	_	_	_	
1-668	4031-4037	upravo	_	_	_	_	
1-669	4038-4044	družbe	_	_	*->1-37	*[1]	
1-670	4045-4046	,	_	_	_	_	
1-671	4047-4049	da	_	_	_	_	
1-672	4050-4059	skupščina	_	_	_	_	
1-673	4060-4066	zaseda	_	_	_	_	
1-674	4067-4070	čim	_	_	_	_	
1-675	4071-4075	prej	_	_	_	_	
1-676	4076-4077	,	_	_	_	_	
1-677	4078-4084	vendar	_	_	_	_	
1-678	4085-4087	ne	_	_	_	_	
1-679	4088-4095	pozneje	_	_	_	_	
1-680	4096-4099	kot	_	_	_	_	
1-681	4100-4101	v	_	_	_	_	
1-682	4102-4106	dveh	_	_	_	_	
1-683	4107-4114	mesecih	_	_	_	_	
1-684	4115-4117	od	_	_	_	_	
1-685	4118-4125	prejema	_	_	_	_	
1-686	4126-4133	zahteve	_	_	_	_	
1-687	4134-4135	,	_	_	_	_	
1-688	4136-4141	sicer	_	_	_	_	
1-689	4142-4146	bodo	_	_	_	_	
1-690	4147-4157	uveljavili	_	_	_	_	
1-691	4158-4163	svoje	_	_	_	_	
1-692	4164-4177	korporacijske	_	_	_	_	
1-693	4178-4185	pravice	_	_	_	_	
1-694	4186-4187	v	_	_	_	_	
1-695	4188-4194	skladu	_	_	_	_	
1-696	4195-4196	z	_	_	_	_	
1-697	4197-4207	zakonodajo	_	_	_	_	
1-698	4208-4209	.	_	_	_	_	
1-699	4210-4211	V	_	_	_	_	
1-700	4212-4216	Kadu	ORG	_	*->10-10	*[10]	
1-701	4217-4222	svojo	_	_	_	_	
1-702	4223-4230	zahtevo	_	_	_	_	
1-703	4231-4243	pojasnjujejo	_	_	_	_	
1-704	4244-4245	s	_	_	_	_	
1-705	4246-4249	tem	_	_	_	_	
1-706	4250-4251	,	_	_	_	_	
1-707	4252-4254	da	_	_	_	_	
1-708	4255-4257	je	_	_	_	_	
1-709	4258-4266	finančni	_	_	_	_	
1-710	4267-4274	položaj	_	_	_	_	
1-711	4275-4282	skupine	_	_	*->1-38	*[1]	
1-712	4283-4292	Pivovarna	ORG[29]	_	*->1-38	*[1]	
1-713	4293-4298	Laško	ORG[29]|LOC[30]	3 - Nevtralno	*->1-38|*->11-12	*[1]|*[11]	
1-714	4299-4303	zelo	_	_	_	_	
1-715	4304-4309	resen	_	_	_	_	
1-716	4310-4311	.	_	_	_	_	
1-717	4312-4319	Kapital	_	_	_	_	
1-718	4320-4327	skupine	_	_	*->1-39	*[1]	
1-719	4328-4330	je	_	_	_	_	
1-720	4331-4336	konec	_	_	_	_	
1-721	4337-4341	leta	_	_	_	_	
1-722	4342-4346	2010	_	_	_	_	
1-723	4347-4353	znašal	_	_	_	_	
1-724	4354-4359	131,9	_	_	_	_	
1-725	4360-4368	milijona	_	_	_	_	
1-726	4369-4374	evrov	_	_	_	_	
1-727	4375-4377	in	_	_	_	_	
1-728	4378-4380	je	_	_	_	_	
1-729	4381-4384	bil	_	_	_	_	
1-730	4385-4387	za	_	_	_	_	
1-731	4388-4392	30,7	_	_	_	_	
1-732	4393-4401	milijona	_	_	_	_	
1-733	4402-4407	evrov	_	_	_	_	
1-734	4408-4414	manjši	_	_	_	_	
1-735	4415-4418	kot	_	_	_	_	
1-736	4419-4424	konec	_	_	_	_	
1-737	4425-4429	leta	_	_	_	_	
1-738	4430-4434	2009	_	_	_	_	
1-739	4435-4436	.	_	_	_	_	
1-740	4437-4442	Poleg	_	_	_	_	
1-741	4443-4447	tega	_	_	_	_	
1-742	4448-4453	visok	_	_	_	_	
1-743	4454-4462	finančni	_	_	_	_	
1-744	4463-4467	dolg	_	_	_	_	
1-745	4468-4479	obremenjuje	_	_	_	_	
1-746	4480-4486	tekoče	_	_	_	_	
1-747	4487-4497	poslovanje	_	_	_	_	
1-748	4498-4501	ter	_	_	_	_	
1-749	4502-4508	ogroža	_	_	_	_	
1-750	4509-4515	obstoj	_	_	_	_	
1-751	4516-4518	in	_	_	_	_	
1-752	4519-4525	razvoj	_	_	_	_	
1-753	4526-4533	skupine	_	_	*->1-40	*[1]	
1-754	4534-4535	.	_	_	_	_	
1-755	4536-4540	Foto	_	_	_	_	
1-756	4541-4547	Damjan	PER[31]	3 - Nevtralno[34]	*->12-1	*[12]	
1-757	4548-4554	Žibert	PER[31]	3 - Nevtralno[34]	*->12-1	*[12]	
1-758	4555-4561	Ostali	_	_	_	_	
1-759	4562-4564	bi	_	_	_	_	
1-760	4565-4577	prezadolženi	_	_	_	_	
1-761	4578-4583	Konec	_	_	_	_	
1-762	4584-4588	leta	_	_	_	_	
1-763	4589-4593	2010	_	_	_	_	
1-764	4594-4596	je	_	_	_	_	
1-765	4597-4604	skupina	_	_	*->1-41	*[1]	
1-766	4605-4615	izkazovala	_	_	_	_	
1-767	4616-4628	primanjkljaj	_	_	_	_	
1-768	4629-4638	obratnega	_	_	_	_	
1-769	4639-4647	kapitala	_	_	_	_	
1-770	4648-4649	v	_	_	_	_	
1-771	4650-4656	višini	_	_	_	_	
1-772	4657-4661	44,7	_	_	_	_	
1-773	4662-4670	milijona	_	_	_	_	
1-774	4671-4676	evrov	_	_	_	_	
1-775	4677-4678	,	_	_	_	_	
1-776	4679-4687	finančne	_	_	_	_	
1-777	4688-4698	obveznosti	_	_	_	_	
1-778	4699-4701	pa	_	_	_	_	
1-779	4702-4704	so	_	_	_	_	
1-780	4705-4712	znašale	_	_	_	_	
1-781	4713-4718	397,5	_	_	_	_	
1-782	4719-4727	milijona	_	_	_	_	
1-783	4728-4733	evrov	_	_	_	_	
1-784	4734-4735	.	_	_	_	_	
1-785	4736-4737	V	_	_	_	_	
1-786	4738-4742	Kadu	ORG	_	*->10-11	*[10]	
1-787	4743-4749	menijo	_	_	_	_	
1-788	4750-4751	,	_	_	_	_	
1-789	4752-4754	da	_	_	_	_	
1-790	4755-4757	bi	_	_	_	_	
1-791	4758-4763	kljub	_	_	_	_	
1-792	4764-4773	morebitni	_	_	_	_	
1-793	4774-4781	uspešni	_	_	_	_	
1-794	4782-4789	izvedbi	_	_	_	_	
1-795	4790-4799	odprodaje	_	_	_	_	
1-796	4800-4809	finančnih	_	_	_	_	
1-797	4810-4816	naložb	_	_	_	_	
1-798	4817-4819	in	_	_	_	_	
1-799	4820-4828	poslovno	_	_	_	_	
1-800	4829-4841	nepotrebnega	_	_	_	_	
1-801	4842-4852	premoženja	_	_	_	_	
1-802	4853-4864	obvladujoča	_	_	_	_	
